,sentence1,sentence2,label
0,To simulate the behaviour of portions of the desired software product.,to show that a certain part of the program works as it is supposed to,0.6
1,To simulate the behaviour of portions of the desired software product.,Program that simulates the behavior of portions of the desired software product,1.0
2,To simulate the behaviour of portions of the desired software product.,To lay out the basics and give you a starting point in the actual problem solving.,0.4
3,To simulate the behaviour of portions of the desired software product.,A prototype program is used in problem solving to collect data for the problem.,0.3
4,To simulate the behaviour of portions of the desired software product.,#NAME?,0.7
5,To simulate the behaviour of portions of the desired software product.,Simulating the behavior of only a portion of the desired software product.,1.0
6,To simulate the behaviour of portions of the desired software product.,It simulates the behavior of portions of the desired software product.,1.0
7,To simulate the behaviour of portions of the desired software product.,High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.,0.7
8,To simulate the behaviour of portions of the desired software product.,"the prototype program gives a general idea of what the end product will do,   without the time and effort to write out the entire program.",0.6
9,To simulate the behaviour of portions of the desired software product.,To simulate problem solving for parts of the problem,0.9
10,To simulate the behaviour of portions of the desired software product.,"A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",0.9
11,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),coding,0.6
12,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Testing, refining, production, and maintenance.",0.7
13,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Elaboration, Construction, Transition",0.4
14,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"refining, production, maintenance.",0.7
15,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),#NAME?,0.4
16,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining and Coding,1.0
17,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),coding and refining,1.0
18,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining and possibly the design if the testing phase reveals problems in the design. Production can be affected if the program is unworkable in its current form which will lead to a later production time than originally estimated. Also affects coding because after testing you may need to rewrite the code for the program to remove errors.,0.7
19,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Testing could affect all parts of the life cycle; it could make you go back   to specification if it does not test well.,0.4
20,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining.,0.6
21,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Directly: Refining, coding.  Because Refining is right before the Testing Phase and Coding is right after the Testing Phase.  Indirectly: Production, Maintenance.  Because Refining occurs before these last two stages in the Software Life Cycle.",1.0
22,Abstraction and reusability.,existing classes can be reused program maintenance and verification are easier,0.7
23,Abstraction and reusability.,"Variables can remain private. The code is easily modified and reusable, as well as easily implemented. Not to mention easier to read and follow along as an observer.",0.9
24,Abstraction and reusability.,Using different modules allows for easier debugging,0.4
25,Abstraction and reusability.,"the main advantages to object-oriented programming  is data abstraction, easier maintenance, and re-usability.",1.0
26,Abstraction and reusability.,#NAME?,0.6
27,Abstraction and reusability.,Re-usability  and ease of maintenance,0.8
28,Abstraction and reusability.,"Existing classes can be feused, Program maintenance and verification are easier",0.7
29,Abstraction and reusability.,"Modularability, the ability to reuse parts of the program later in another program sometimes with completely different goals for the program. Also it makes it easier to debug code by dividing up the code into classes that each do a specific job and when the program fails at one job you only have one class to debug. Good for security purposes because it allows you to let someone use a program which sorts lists without having to give them access to the source code. ALso allows you to use inheritance and polymorphism.",0.9
30,Abstraction and reusability.,"Existing classes can be reused, program maintenance and verification are   easier.",0.7
31,Abstraction and reusability.,"Data encapsulation concept,the use of functions or methods to manipulate data.",0.7
32,Abstraction and reusability.,"Coding and Debugging programs are usually easier, as either the compiler will specify the object that is working incorrectly, or the function an object was assigned to will be easier to identify.  The code itself also looks more organized and is easier to read and will help to avoid redundant coding.  Post-programming maintenance is also easier.  Also, modules can be reused several times in other programs without too much hassle.   Abstraction is the art of breaking down one big problem into smaller, simpler problems and solving them.  Many of the smaller problems are shared between unique complex problems, and creating modules to these solve these smaller repeated problems can save time when you encounter them again.",1.0
33,At the main function.,"in the ""main"" function",1.0
34,At the main function.,"At the ""main()"" function",1.0
35,At the main function.,At the root,0.5
36,At the main function.,C++ programs begin execution at the main function.,1.0
37,At the main function.,#NAME?,1.0
38,At the main function.,main,1.0
39,At the main function.,main,1.0
40,At the main function.,At function ‘int main ()’,1.0
41,At the main function.,C++ programs begin execution at the main function.,1.0
42,At the main function.,In the main() function.,1.0
43,At the main function.,In the Main function..?,1.0
44,A location in memory that can store a value.,a location in memory where data can be stored and retrieved,1.0
45,A location in memory that can store a value.,a symbol that stands in for a value that may or may not change depending on the program.,0.8
46,A location in memory that can store a value.,a value/word that can assume any of a set of values,0.6
47,A location in memory that can store a value.,a variable is an object where data is stored.,0.7
48,A location in memory that can store a value.,#NAME?,0.8
49,A location in memory that can store a value.,a block of memory that holds a specific type of data,1.0
50,A location in memory that can store a value.,location in memory where a value can be stored,1.0
51,A location in memory that can store a value.,Variable can be a integer or a string in a program.,0.4
52,A location in memory that can store a value.,A variable is a location in a computers memory where a value can be stored   for use by a program.,1.0
53,A location in memory that can store a value.,A pointer to a location in memory.,0.8
54,A location in memory that can store a value.,A variable is a value that is subject to change in a computer's memory that can be used by programs.  Programs can change the value of the variable and recall it later or act on it directly.,1.0
55,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),"anywhere, but where you declare them depends on where you want them to be accessible (their scope)",0.9
56,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),in the very beginning of the program. Before the main() starts.,0.4
57,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),at the top,0.3
58,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),variables can be declared in classes and methods.,0.5
59,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),#NAME?,0.4
60,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),"Globally for an entire program, and locally for individual functions (including FOR statements)",0.9
61,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),Anywhere in the same scope before they are used,0.7
62,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),"They can be declared right before they are used, but it is a good practice to declare them at the beginning of the program and label what they are food.",0.4
63,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),"Variables are declared in the main function, before any operation is   attempted with the variables.",0.4
64,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),Global variables are declared in the body of the code. Local variables are declared in the function they are to be used (unless the function is being passed a variable). Variables should always be declared before use.,1.0
65,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),"In the main function, usually at the top of code.  They can be declared almost anywhere, but must be declared before the code can use or act upon them.",0.7
66,The block inside a do...while statement will execute at least once.,"a while loop is pre-check (it checks the condition statement before it executes the code within the while block)  a do while loop is post-check (it checks the condition AFTER the block executes, it runs at least once no matter what the condition statement is)",1.0
67,The block inside a do...while statement will execute at least once.,The statements within the block of the do while loop will always be executed at least once regardless of the conditions. Whereas the while loops may never be executed if the conditions are not met.,1.0
68,The block inside a do...while statement will execute at least once.,"a while statement will only process if the statement is met, while a do...while will always process once, then only continue if the statement is met.",1.0
69,The block inside a do...while statement will execute at least once.,"A do...while statement will always execute the ""do"" piece of code at least once before checking the condition. A while statement will always check the condition first.",1.0
70,The block inside a do...while statement will execute at least once.,#NAME?,1.0
71,The block inside a do...while statement will execute at least once.,"while statements will evaluate the statement BEFORE executing a cycle of the loop, including the first cycle, meaning that a while loop will not always execute. A do...while will run evaluate the statement AFTER running through a cycle of the loop, ensuring that the loop always executes at least one time.",1.0
72,The block inside a do...while statement will execute at least once.,"While loop evaluates its expression at the top of its loop and decides if it needs to execute, and the do-while always executes at least once and then evaluates its expression at the bottom of its loop.",1.0
73,The block inside a do...while statement will execute at least once.,"""The “do” statement first evaluates the condition and then executes the lines of code in the statement 0 or more times. 	The “do while” statement executes the lines of code and then it evaluates the condition. """,0.9
74,The block inside a do...while statement will execute at least once.,"A do...while loop will always execute atleast once, a while loop may never   execute depending on teh conditions.",1.0
75,The block inside a do...while statement will execute at least once.,"Do ...while runs the embedded code at least once, the do command does not necessarily",0.8
76,The block inside a do...while statement will execute at least once.,A do...while statement's body always executes at least once.  Where as a while statement will not execute at all unless the condition for the while is true.,1.0
77,Data members (attributes) and member functions.,functions and data members that belong to the class,1.0
78,Data members (attributes) and member functions.,the data and methods,0.9
79,Data members (attributes) and member functions.,"a constructor and several data members, and at least one public data member or method",0.9
80,Data members (attributes) and member functions.,Member functions and data members.,1.0
81,Data members (attributes) and member functions.,Data members and member functions,1.0
82,Data members (attributes) and member functions.,member functions,0.7
83,Data members (attributes) and member functions.,"class variables, function definitions for the class",1.0
84,Data members (attributes) and member functions.,"class name, two curly prenthesis, public and private",0.4
85,Data members (attributes) and member functions.,"the keyword class followed by they class name, on the inside you declare public and private declarations of your class",0.7
86,Data members (attributes) and member functions.,"For us it is usually a set, get, and displayMessge or other messages that tell you what properties a class has but does not reveal its implementations. You could have anything you want in your own class definition.",0.4
87,Data members (attributes) and member functions.,An object and data.,0.4
88,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,local variables are accessed inside member functions only while data members   can be accessed throughout the class,0.9
89,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"local variables can only be used within the function, where as data members can be set to public access and can be used throughout",1.0
90,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"a local variable is only useable within the function it is defined, whereas a data member is available to any method within its class",1.0
91,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,Every member function can access and modify a data member. A local variable can only be used from the line of declaration to the next closing } before it is lost from memory.,0.9
92,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"data members are permanent attributes of the class, local variables inside a member function are lost when the scope of the member function ends.",0.8
93,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data members are declared in a class definition but outside the bodies of a class's member-function definitions. Local variables are declared in a function definition's body,0.8
94,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"A data member is accessible anywhere in the class, while i local variable in a member function is only accessible in that particular function, and is freed after the function exits.",1.0
95,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,Variable declared in a function defination's body cannot be used outside of that function.  Data members accessible only to member function of that class.,1.0
96,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,Local variables are used only within the scope of its declaration,0.9
97,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,Data members are the data components of a particular class.  A member function are the functioning components of the class.,0.6
98,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,A local variable cannot be accessed outside the function in which it is declared. Data members normally are private. Variables of functions declared private are accessible only to member functions of the class in which they are declared.,1.0
99,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",constructors initialize the data that is then used in the calculations of a   function,0.5
100,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",a constructor initializes data members but the functions actually perform tasks. Constructors cant return values either.,0.8
101,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.","a constructor is a function that initializes a class instance, a function performs whatever task it is written for",0.6
102,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",Constructors don't have a return type.,0.8
103,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.","A constructor is automatically called whenever an instance of a class is created, a function must be explicitly called by the user. ",0.8
104,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.","constructors cannot return values, so they cannot specify a return type like functions can.",0.8
105,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.","a constructor is called when the class is created, a function can be called any time.",0.7
106,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.","A constructor cannot return values, not even void, but function get a return value.",0.8
107,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",A constructor initialized values at the execution of its instantiation. It provides default values.,0.7
108,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",A constructor initializes an object or objects of a class.  A function of a class performs a task such as display a line of text or do some kind of mathematical operations.,0.5
